Gene_ID	L15	S15	R15	L20	S20	R20	L25	S25	R25	L30	S30	R30	Bd	Flwr	YSe	MSe
g2451	161	1214	1222	291	1599	863	45	1138	851	60	615	1406	653	20	380	590
g2452	1263	3842	4827	1635	3362	3161	497	2899	3389	743	2390	4337	11339	181	4018	7198
g2453	2	0	178	0	0	0	0	0	0	2	0	2	0	0	139	894
g2454	1487	2382	2181	2854	2940	1527	1361	2745	1378	1648	1456	2208	1573	637	1881	2464
g2455	110	248	555	317	335	319	183	350	313	284	155	679	240	199	249	628
g2456	0	2	2	0	0	0	0	0	0	0	2	0	10	2	0	2
g2457	41	580	629	100	720	474	19	478	501	24	161	791	416	10	255	356
g2458	0	0	0	2	0	0	0	0	2	0	0	6	1	0	1	1
g2459	1415	3560	4233	2987	3836	2936	1157	3696	3536	1194	1989	5431	1610	633	1821	2630
g2460	5	129	1292	14	147	1544	7	95	1308	9	26	1553	15	4	5	14
g2461	153	540	721	521	745	459	255	736	552	264	361	916	640	393	607	860
g2462	470	1265	1775	1374	1937	1200	657	1973	1375	496	503	1601	1882	941	1495	2251
g2463	57	76	123	87	63	55	47	59	64	11	6	25	282	200	124	180
g2464	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
g2465	0	0	0	0	2	0	2	0	1	0	3	2	2	2	4	2
g2466	50	91	72	49	73	60	37	78	66	31	14	43	247	148	93	163
g2467	100	277	299	203	198	123	87	229	176	88	89	147	457	512	273	438
g2468	117	124	114	337	189	64	107	233	70	114	106	110	528	220	242	360
g2469	144	384	395	314	418	261	146	356	269	244	318	594	588	812	391	530
g2470	277	1102	1363	667	1563	1080	306	1525	1077	334	678	1484	1048	312	1083	1448
g2471	4	0	2	19	14	4	2	2	11	4	3	0	0	0	2	4
g2472	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2473	1	4	51	1	6	6	1	1	6	1	1	10	156	46	57	243
g2474	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
g2475	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	4
g2476	40	25	44	104	64	41	30	79	28	13	13	26	30	11	20	50
g2477	37	71	106	140	150	92	52	173	68	87	78	127	66	28	54	116
g2478	91	619	994	179	588	488	55	596	553	74	323	660	578	29007	10908	2108
g2479	566	1176	1652	1533	1580	920	824	1533	1044	518	288	969	2699	760	1596	3119
g2480	101	262	284	280	242	131	119	253	147	34	30	68	809	125	358	634
g2481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2482	179	327	348	350	364	207	133	429	180	103	53	121	1187	247	387	899
g2483	166	1359	1508	228	1512	1068	92	1669	1276	144	937	1681	977	157	1188	1211
g2484	409	574	968	661	662	530	239	629	573	211	376	827	1469	720	855	1254
g2485	685	1595	5190	1234	2363	2715	601	2141	4294	675	1437	6537	5948	298	10403	9909
g2486	1459	4305	5068	3349	5924	3562	1629	5212	4233	1713	2172	5091	3204	697	2695	4582
